1	3600	20
2	3132	19
3	3131	17
4	5371	18
5	5397	20
6	5561	14
7	5861	21
8	5973	19
9	4675	24
10	4806	12
11	8394	27
12	8356	30
13	8783	23
14	8329	34
15	8131	41
16	6767	24
17	6432	31
18	11733	27
19	11251	36
20	11802	35
21	11719	40
22	11083	32
23	8499	53
24	8529	39
25	14104	59
26	14317	58
27	14081	53
28	13930	54
29	12883	61
30	9697	61
31	8722	72
32	16281	75
33	16190	77
34	15496	78
35	14578	90
36	13735	120
37	9580	92
38	8181	78
39	16098	120
40	15495	118
41	15031	105
42	13885	113
43	13398	106
44	8879	118
45	7542	108
46	15322	115
47	14035	128
48	13557	129
49	12388	137
50	11243	129
51	7804	149
52	6588	118
53	13278	124
54	12267	139
55	12918	132
56	10990	156
57	9954	146
58	6789	118
59	5366	151
60	6658	141
61	12391	135
62	11294	136
63	10164	142
64	9302	151
65	6242	128
66	5366	119
67	10418	142
68	9467	119
69	8855	130
70	7866	131
71	7314	130
72	4909	132
73	4137	99
74	8847	123
75	7540	102
76	7384	133
77	6477	127
78	6169	114
79	4240	126
80	3760	100
81	7631	104
82	6774	107
83	6205	110
84	5790	92
85	5768	98
86	3693	122
87	3416	87
88	6783	86
89	6250	105
90	6011	113
91	5300	102
92	5160	85
93	3508	77
94	3307	82
95	5832	74
96	5800	71
97	5631	68
98	5297	73
99	5315	68
100	3649	79
101	3596	77
102	7068	71
103	6372	70
104	6253	68
105	5934	109
106	5981	79
107	4074	73
108	3585	68
109	7231	67
110	6783	71
111	6581	69
112	6068	77
113	5635	73
114	3949	81
115	3508	66
116	7419	77
117	6525	75
118	6424	74
119	6027	70
120	5555	73
121	3680	81
122	3466	91
123	6670	76
124	5885	89
125	5654	71
126	4328	85
127	5107	77
128	3459	67
129	3261	76
130	6431	83
131	5416	63
132	5187	84
133	4702	70
134	4630	85
135	3303	66
136	2975	77
137	5272	75
138	4854	80
139	4688	64
140	2314	59
