1	2
2	2
3	2
4	2
5	3
6	10
7	16
8	29
9	43
10	65
11	113
12	148
13	194
14	238
15	343
16	386
17	526
18	1006
19	1606
20	2117
21	2929
22	4130
23	5844
24	7698
25	9149
26	11178
27	13716
28	17147
29	19980
30	24926
31	28572
32	33089
33	39673
34	47610
35	56188
36	64059
37	72248
38	78797
39	85195
40	94417
41	102136
42	110238
43	117710
44	124736
45	130759
46	135032
47	140510
48	146690
49	152446
50	157022
51	161852
52	166019
53	169496
54	172541
55	177633
56	182816
57	188068
58	191726
59	195944
60	200210
61	204178
62	208389
63	213024
64	219764
65	223759
66	226629
67	229422
68	232128
69	236108
70	239369
71	242988
72	245567
73	247122
74	248301
75	250561
76	253682
77	256855
78	260117
79	262783
80	264663
81	268143
82	269520
83	271095
84	272646
85	274367
86	276726
87	277719
88	278188
89	278905
90	279524
91	280117
92	280478
93	280914
94	281323
95	281547
96	281798
97	282078
98	282378
99	282698
100	282988
101	283333
102	283495
103	283655
104	283793
105	283854
106	283899
107	283923
108	283935
109	283941
