1	2
2	2
3	2
4	6
5	7
6	12
7	17
8	22
9	31
10	42
11	66
12	99
13	121
14	146
15	197
16	287
17	420
18	507
19	600
20	772
21	1026
22	1247
23	1525
24	2001
25	2366
26	2651
27	2809
28	3929
29	4638
30	5348
31	5831
32	6160
33	6647
34	7314
35	8818
36	9901
37	10566
38	11483
39	12159
40	12452
41	13315
42	14223
43	14987
44	15669
45	17194
46	17669
47	18301
48	18947
49	19881
50	20740
51	21512
52	22147
53	22695
54	23401
55	23913
56	24615
57	25572
58	26155
59	27270
60	28306
61	28602
62	29368
63	29711
64	30696
65	31439
66	32106
67	32532
68	33441
69	33927
70	34635
71	35332
72	35858
73	36681
74	37147
75	37701
76	38081
77	38721
78	39647
79	40405
80	41218
81	42132
82	42838
83	43344
84	43730
85	44421
86	45070
87	45670
88	46286
89	46986
90	47618
91	48207
