1	1
2	2
3	7
4	13
5	18
6	28
7	38
8	82
9	128
10	188
11	265
12	321
13	382
14	503
15	614
16	804
17	959
18	1135
19	1413
20	1705
21	2051
22	2460
23	2994
24	3631
25	4204
26	4749
27	5560
28	6412
29	7431
30	8603
31	9762
32	10866
33	11750
34	12595
35	13614
36	14697
37	15723
38	16627
39	17851
40	18803
41	19580
42	20549
43	21762
44	23097
45	24413
46	25587
47	26551
48	27419
49	28153
50	29214
51	30449
52	31589
53	32655
54	33405
55	34134
56	34842
57	35729
58	36535
59	37190
60	37845
61	38245
62	38416
63	38802
64	39316
65	39791
66	40236
67	40571
68	40770
69	41087
70	41319
71	41774
72	42093
73	42382
74	42627
75	42788
76	42984
77	43211
78	43481
79	43681
80	43870
81	43995
82	44141
83	44249
84	44447
85	44700
86	44888
87	45064
